"","id","Station","Divisions","Region","Total_MAH","Total_DN","Total_kidnap","Total_REHi","Total_Burglary","Total_Theft","Total_Fraud","Total_Drug","Total_weapon","Total_PDE","Total_poSo","Total_AgainstGVT","Total_crime","crime_rate"
"211",20549,"Corofin","galwaydivision",NA,40,80,0,0,79,139,8,16,6,76,36,4,968,0.015
"212",20182,"Courtown Harbour","wexforddivision",NA,217,259,1,25,824,978,12,164,34,508,383,34,6878,0.104
"213",20509,"Craughwell","galwaydivision",NA,56,148,0,3,220,371,28,30,4,110,87,11,2136,0.032
"214",20519,"Creggs","galwaydivision",NA,11,19,1,1,25,23,1,1,0,12,10,0,208,0.003
"215",20366,"Crookstown","cork westdivision",NA,128,112,1,0,134,299,20,100,12,121,96,9,2064,0.031
"216",20426,"Croom","limerickdivision",NA,99,66,2,5,187,447,22,49,17,230,194,22,2680,0.04
"217",20296,"Crosshaven","cork citydivision",NA,120,87,0,4,112,376,25,160,10,230,316,23,2926,0.044
"218",20558,"Crossmolina","mayodivision",NA,101,125,0,1,110,211,20,21,9,135,248,18,1998,0.03
"219",207,"Crumlin","d.m.r. southerndivision",NA,870,763,16,378,3306,6493,438,1280,296,4826,2455,295,42832,0.645
"220",20448,"Crusheen","claredivision",NA,23,43,0,1,62,105,10,16,6,48,30,2,692,0.01
"221",20137,"Daingean","laois/offalydivision",NA,127,79,0,6,205,291,24,40,19,150,263,25,2458,0.037
"222",2088,"Delvin","westmeathdivision",NA,94,143,1,8,271,409,16,306,8,204,200,17,3354,0.05
"223",20381,"Dingle","kerrydivision",NA,218,252,0,4,91,209,20,109,13,181,959,16,4144,0.062
"224",20268,"Dolla","tipperarydivision",NA,7,25,0,0,61,65,3,15,1,26,56,1,520,0.008
"225",20658,"Donegal Town","donegaldivision",NA,402,310,1,4,197,626,121,253,26,378,1642,84,8088,0.122
"226",20323,"Doneraile","cork northdivision",NA,68,58,0,0,112,263,13,65,9,150,148,7,1786,0.027
"227",205,"Donnybrook","d.m.r. south centraldivision",NA,703,1030,10,306,3913,9841,651,688,204,2791,3640,201,47956,0.722
"228",20294,"Douglas","cork citydivision",NA,602,750,6,61,993,3040,149,795,73,1641,1979,151,20480,0.308
